registration_id,driver_id,vin_number,registration_date,expiry_date
109,17,JN8AF5MR0ET641233,2020-11-30,2031-10-06
110,113,TRUSC28N611070213,2015-10-28,2033-05-28
111,51,WAUBF78K29N704042,2019-01-30,2027-12-22
112,21,JM3TB2MA6A0687581,2014-10-24,2027-06-25
113,54,YV1672MK7D2472651,2018-08-29,2016-07-18
114,84,3VW117AU9FM193392,2017-12-19,2027-08-07
115,85,1D7RE3BK6AS381678,2014-10-28,2018-11-11
116,8,JN8AS5MTXDW386028,2017-05-09,2018-07-05
117,120,KMHHT6KD6DU324030,2017-10-02,2025-03-17
118,60,JHMFB4F25CS917821,2019-01-09,2029-06-03
119,90,3VW117AU9FM193392,2019-07-14,2020-03-29
120,39,1G6DS5E33D0972597,2017-07-24,2015-08-28
121,50,WBAKF5C5XBE695585,2016-04-26,2016-04-26
122,37,WVGEF9BP1ED349912,2024-01-04,2016-06-14
123,105,WUARU98E57N783316,2022-02-25,2023-07-01
